Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,40.473555516268966
FDW14,OUT017,36.24087452744652
NCN55,OUT010,34.562999504487316
FDQ58,OUT017,48.589642322905725
FDY38,OUT027,72.36331538877994
FDH56,OUT046,41.96252086685393
FDL48,OUT018,27.6300800721437
FDC48,OUT027,48.58977613882316
FDN33,OUT045,38.74718716466169
FDA36,OUT017,53.80568146261496
FDT44,OUT017,41.82167262921498
FDQ56,OUT045,36.284786730122626
NCC54,OUT019,33.294488081073176
FDU11,OUT049,42.224119537165706
DRL59,OUT013,30.222128220679714
FDM24,OUT049,48.09593431856752
FDI57,OUT045,56.31968972539338
DRC12,OUT018,49.756850430709946
NCM42,OUT027,52.7232712836308
FDA46,OUT010,26.61530418701958
FDA31,OUT013,50.29797520033131
NCJ31,OUT035,61.61142689594528
FDG52,OUT046,29.63013377248115
NCL19,OUT019,17.757887894710404
FDS10,OUT035,52.38135066538184
FDX22,OUT010,30.098185459939444
NCF19,OUT035,30.06693851975799
NCE06,OUT046,48.62428341789479
DRC27,OUT046,61.22736821691098
FDE21,OUT035,41.60042672851556
NCR42,OUT019,-0.8466078152681948
FDX51,OUT018,51.785435229989545
NCR06,OUT018,25.727630153611184
FDU31,OUT027,71.06572802293604
FDU59,OUT017,49.245041618642034
FDR03,OUT027,69.44605811899038
FDS49,OUT027,48.83928193899492
FDD48,OUT010,13.873611454762859
NCF18,OUT017,53.745620341218434
NCD43,OUT027,51.718575497254335
NCD54,OUT018,42.09707149748365
FDY19,OUT010,13.772206095217868
NCY54,OUT017,50.72144382773937
NCL19,OUT018,42.90019628364818
FDP23,OUT010,30.209641582494314
FDC26,OUT013,40.740934393348155
FDR14,OUT010,2.22560446981233
NCS41,OUT035,52.48175522534316
FDF41,OUT035,62.49469564749784
FDU34,OUT046,43.038931757479304
DRH11,OUT046,31.791788282840507
FDM03,OUT013,39.375577773136094
FDS31,OUT017,52.71594623326538
FDJ20,OUT017,42.8259464619752
FDV44,OUT027,66.26789486541082
FDG02,OUT049,54.42333699015021
FDA09,OUT013,52.00820337751076
FDT04,OUT013,27.252374259717612
FDL58,OUT019,37.93921147838744
FDE52,OUT045,36.394633273418805
FDW12,OUT035,47.033375182512785
FDL51,OUT017,56.9566980865392
NCY42,OUT027,57.947752190984794
FDR07,OUT017,38.26521276006326
FDN40,OUT045,46.92473532139544
FDB35,OUT027,50.056457790349675
FDA22,OUT017,49.79938496276205
NCL06,OUT046,65.11931729109287
FDI35,OUT013,51.35445708633856
NCW42,OUT045,58.36444296096165
NCX06,OUT049,51.785806104150616
FDC37,OUT027,53.003214942487865
FDZ14,OUT018,38.243701268576125
DRG49,OUT049,62.134401667039846
NCG06,OUT045,64.14350686943945
DRC36,OUT045,50.64111482813616
FDV21,OUT019,14.428223496507353
FDB53,OUT046,46.021433281937796
DRP47,OUT019,35.17450092030518
FDA14,OUT013,44.15892322656037
DRC24,OUT035,46.86368094311012
FDW21,OUT018,36.39358487641415
NCH29,OUT046,38.4514762596125
FDU58,OUT013,53.53699223702512
FDY27,OUT017,50.69513222702759
FDV56,OUT035,40.73292824834032
FDT59,OUT046,59.89572398355218
FDB23,OUT046,59.7059308282523
FDR49,OUT045,30.587737823517095
FDB03,OUT010,33.19040338599813
FDN39,OUT045,50.32639129541686
FDX02,OUT027,70.27348262425826
FDQ16,OUT027,52.12871882147518
FDU35,OUT018,34.90554240467173
NCT29,OUT013,41.64104896365456
FDZ27,OUT046,29.1710846553924
FDN57,OUT017,45.91435021930297
FDA03,OUT018,41.877217385467915
FDZ36,OUT045,53.59225875487717
NCU05,OUT013,34.942822847861144
FDT39,OUT018,44.68041972467998
FDK60,OUT017,39.11844589123
FDZ25,OUT017,51.62280365046538
FDG12,OUT046,43.29301162657797
DRB01,OUT019,24.78038549550634
NCC43,OUT027,75.69792178363167
FDX13,OUT019,35.68906364536699
FDM22,OUT049,31.9301036960071
FDJ03,OUT027,42.05520898497515
FDU14,OUT018,58.674708008585945
FDB33,OUT010,20.86352385674495
FDP27,OUT046,53.92252175580632
FDO38,OUT010,7.979755238545543
FDE28,OUT027,72.7251596408108
FDO27,OUT035,38.703576941464014
DRL23,OUT027,52.603573365690536
FDS28,OUT046,31.44586723187379
FDX24,OUT013,37.29694423208317
FDZ02,OUT035,37.57394232698994
FDL46,OUT045,41.733789491758806
FDS60,OUT027,64.58419000607589
NCO06,OUT017,27.580751736941693
FDO16,OUT035,36.04399401347573
FDC60,OUT049,37.47856412699935
FDA48,OUT018,55.17821587446982
FDZ36,OUT027,66.3277279117597
FDK27,OUT045,42.63416331839664
FDW23,OUT018,25.59758298944397
FDM14,OUT018,37.831671804431174
FDM14,OUT013,40.28954834321601
FDW60,OUT018,48.97743681168798
FDE21,OUT013,40.7924740922135
NCM42,OUT035,40.338253731912765
FDY59,OUT010,10.61284640285789
DRI49,OUT049,34.86123580598875
FDT28,OUT019,18.356244385682892
FDQ22,OUT018,25.713432748700114
FDR60,OUT049,35.102753283760514
FDC50,OUT019,10.078243818894537
FDV24,OUT013,46.8612769150915
DRF48,OUT010,25.364593745157002
FDQ47,OUT046,28.238654186739055
DRN36,OUT049,37.78416575298512
NCY06,OUT035,43.258519712808244
FDE52,OUT035,36.4142134026748
NCB54,OUT045,43.19856155103583
NCF31,OUT035,47.323346745402816
FDJ08,OUT027,65.86783862918989
NCC07,OUT017,39.75460339791928
NCD19,OUT027,43.58061470125776
FDL46,OUT049,42.31660871325297
FDM20,OUT045,62.77022831850538
NCI06,OUT010,24.174749066020354
DRM11,OUT035,65.0988592328477
NCH07,OUT018,44.56005882161926
